customer_id,Full_name,email,Age,Gender,Marital_Status,Family_Size,Dependent count,Occupation,Occupation type,Monthly_Income,KYC status,City,Kids_in_Household,App_Installed,Existing Customer,Credit score,Social_Media_Active
CUST0001,Suresh Kapoor,suresh.kapoor1@example.com,41,Male,Married,3,1,Engineer,Full-time,48267,N,Kolkata,1,Y,N,604,Y
CUST0002,Vikram Das,vikram.das2@example.com,41,Female,Married,2,0,Civil Servant,Full-time,241047,N,Bhopal,3,N,N,536,N
CUST0003,Amit Mehta,amit.mehta3@example.com,31,Female,Single,0,1,Architect,Full-time,118744,N,Jaipur,0,Y,N,637,Y
CUST0004,Kavya Sinha,kavya.sinha4@example.com,43,Male,Single,3,2,Banker,Part-time,210551,Y,Delhi,0,Y,Y,504,Y
CUST0005,Kavya Sharma,kavya.sharma5@example.com,52,Female,Single,3,0,Civil Servant,Full-time,90273,N,Bengaluru,0,N,Y,477,N
CUST0006,Rahul Mehta,rahul.mehta6@example.com,26,Male,Single,2,4,IT Professional,Part-time,104602,Y,Ahmedabad,0,Y,N,602,N
CUST0007,Pooja Banerjee,pooja.banerjee7@example.com,56,Male,Married,2,0,Pharmacist,Full-time,197993,Y,Kochi,1,Y,N,637,N
CUST0008,Sneha Iyer,sneha.iyer8@example.com,31,Male,Single,2,2,Architect,Full-time,60950,N,Mumbai,0,Y,N,531,Y
CUST0009,Kavya Nair,kavya.nair9@example.com,48,Female,Married,0,1,Civil Servant,Part-time,190511,N,Mumbai,0,N,N,642,Y
CUST0010,Vikram Joshi,vikram.joshi10@example.com,40,Female,Single,2,1,Pharmacist,Full-time,76930,N,Jaipur,0,Y,Y,523,Y
CUST0011,Kavya Nair,kavya.nair11@example.com,20,Female,Single,0,3,Homemaker,Full-time,37952,Y,Lucknow,0,N,N,586,Y
CUST0012,Priya Sinha,priya.sinha12@example.com,22,Female,Married,3,4,Civil Servant,Full-time,27057,N,Delhi,2,Y,Y,455,N
CUST0013,Rahul Sharma,rahul.sharma13@example.com,53,Male,Single,3,0,Homemaker,Part-time,171353,Y,Indore,0,Y,Y,615,N
CUST0014,Rohit Kulkarni,rohit.kulkarni14@example.com,18,Male,Single,1,4,IT Professional,Full-time,42248,N,Lucknow,0,Y,N,573,Y
CUST0015,Anjali Malhotra,anjali.malhotra15@example.com,24,Male,Single,2,4,Homemaker,Full-time,29989,N,Lucknow,0,Y,N,569,N
CUST0016,Suresh Gupta,suresh.gupta16@example.com,26,Male,Married,3,3,Teacher,Part-time,58721,N,Bhopal,2,N,N,451,Y
CUST0017,Nikhil Iyer,nikhil.iyer17@example.com,50,Male,Married,3,3,Civil Servant,Full-time,155604,N,Bhopal,3,Y,N,699,Y
CUST0018,Arjun Patel,arjun.patel18@example.com,52,Female,Single,2,0,Engineer,Part-time,195246,Y,Ahmedabad,0,N,N,622,Y
CUST0019,Rohit Iyer,rohit.iyer19@example.com,22,Male,Married,3,0,Doctor,Part-time,68763,N,Chennai,2,Y,Y,596,N
CUST0020,Rahul Das,rahul.das20@example.com,55,Male,Married,1,1,IT Professional,Full-time,207043,N,Ahmedabad,3,Y,Y,608,N
CUST0021,Riya Sinha,riya.sinha21@example.com,49,Female,Single,3,0,Teacher,Part-time,156060,Y,Mumbai,0,N,Y,535,Y
CUST0022,Kavya Verma,kavya.verma22@example.com,50,Female,Single,3,4,Teacher,Full-time,94382,Y,Lucknow,0,Y,N,569,N
CUST0023,Rohit Das,rohit.das23@example.com,20,Male,Single,2,1,Civil Servant,Full-time,47482,N,Kolkata,0,Y,Y,575,N
CUST0024,Anjali Mehta,anjali.mehta24@example.com,31,Female,Single,2,1,Engineer,Full-time,48369,N,Delhi,0,N,N,590,N
CUST0025,Priya Iyer,priya.iyer25@example.com,40,Female,Single,3,2,Architect,Part-time,62762,Y,Delhi,0,N,N,569,Y
CUST0026,Kavya Iyer,kavya.iyer26@example.com,53,Female,Single,1,1,Doctor,Part-time,232173,Y,Lucknow,0,Y,Y,658,N
CUST0027,Rahul Kapoor,rahul.kapoor27@example.com,24,Male,Single,2,0,Teacher,Full-time,37474,N,Kolkata,0,Y,Y,524,Y
CUST0028,Anjali Patel,anjali.patel28@example.com,56,Female,Married,3,2,Pharmacist,Part-time,62805,N,Delhi,3,Y,Y,513,Y
CUST0029,Neha Sinha,neha.sinha29@example.com,28,Female,Single,3,4,Homemaker,Full-time,108186,N,Kochi,0,Y,N,638,Y
CUST0030,Suresh Patel,suresh.patel30@example.com,29,Male,Married,2,2,Civil Servant,Part-time,75001,Y,Kochi,1,Y,N,628,Y
CUST0031,Rahul Gupta,rahul.gupta31@example.com,42,Female,Married,2,2,IT Professional,Full-time,112805,N,Patna,0,Y,N,656,N
CUST0032,Vikram Nair,vikram.nair32@example.com,42,Male,Single,1,1,Pharmacist,Full-time,246729,N,Patna,0,N,N,648,Y
CUST0033,Vikram Das,vikram.das33@example.com,45,Male,Married,3,0,Teacher,Full-time,182065,N,Chennai,0,N,Y,549,Y
CUST0034,Priya Malhotra,priya.malhotra34@example.com,37,Male,Married,0,3,Advocate,Part-time,109411,Y,Indore,2,N,Y,637,Y
CUST0035,Priya Banerjee,priya.banerjee35@example.com,59,Female,Single,1,3,Doctor,Part-time,243791,N,Chennai,0,N,N,620,N
CUST0036,Nikhil Mehta,nikhil.mehta36@example.com,51,Female,Single,1,4,Engineer,Part-time,181348,Y,Lucknow,0,Y,Y,467,Y
CUST0037,Priya Sinha,priya.sinha37@example.com,54,Male,Single,2,3,Engineer,Part-time,60141,Y,Hyderabad,0,Y,Y,651,Y
CUST0038,Riya Mehta,riya.mehta38@example.com,32,Female,Single,2,4,Banker,Part-time,75969,Y,Mumbai,0,Y,N,659,Y
CUST0039,Riya Mehta,riya.mehta39@example.com,36,Female,Single,0,4,Banker,Part-time,141164,Y,Chennai,0,N,Y,695,N
CUST0040,Karan Nair,karan.nair40@example.com,44,Female,Married,0,4,Architect,Part-time,160937,N,Hyderabad,1,Y,Y,664,N
CUST0041,Anjali Iyer,anjali.iyer41@example.com,21,Female,Married,0,3,Civil Servant,Part-time,27465,N,Lucknow,3,N,Y,457,Y
CUST0042,Rahul Sinha,rahul.sinha42@example.com,53,Female,Married,3,0,Teacher,Full-time,216841,Y,Indore,3,N,N,615,N
CUST0043,Rahul Das,rahul.das43@example.com,57,Female,Single,3,2,IT Professional,Part-time,215599,N,Bhopal,0,N,Y,659,N
CUST0044,Meera Sharma,meera.sharma44@example.com,55,Male,Married,1,3,Homemaker,Full-time,64910,Y,Patna,0,Y,N,489,N
CUST0045,Riya Verma,riya.verma45@example.com,43,Female,Married,3,0,Pharmacist,Part-time,80039,N,Mumbai,2,Y,N,538,N
CUST0046,Vikram Sinha,vikram.sinha46@example.com,37,Female,Married,3,0,Architect,Full-time,219269,N,Bhopal,1,Y,N,485,N
CUST0047,Rohit Verma,rohit.verma47@example.com,45,Female,Married,2,3,Teacher,Part-time,134354,N,Chennai,2,N,N,635,N
CUST0048,Vikram Sinha,vikram.sinha48@example.com,33,Female,Married,2,1,Doctor,Part-time,124487,N,Kolkata,3,N,Y,597,N
CUST0049,Karan Verma,karan.verma49@example.com,52,Male,Single,3,3,Homemaker,Full-time,234994,N,Lucknow,0,Y,N,666,N
CUST0050,Amit Sharma,amit.sharma50@example.com,26,Female,Married,2,2,IT Professional,Full-time,31980,Y,Indore,0,Y,Y,597,N
CUST0051,Karan Kulkarni,karan.kulkarni51@example.com,53,Male,Married,0,4,Advocate,Part-time,32490,N,Indore,3,N,N,509,Y
CUST0052,Vikram Iyer,vikram.iyer52@example.com,43,Male,Married,1,4,Pharmacist,Part-time,42719,Y,Chandigarh,0,Y,N,529,N
CUST0053,Rohit Mehta,rohit.mehta53@example.com,58,Female,Single,3,2,Engineer,Full-time,140816,N,Chennai,0,N,Y,472,N
CUST0054,Meera Verma,meera.verma54@example.com,54,Female,Single,0,3,Engineer,Full-time,228202,Y,Delhi,0,Y,Y,557,N
CUST0055,Nikhil Banerjee,nikhil.banerjee55@example.com,47,Female,Single,3,2,Homemaker,Full-time,204470,N,Lucknow,0,Y,Y,508,N
CUST0056,Karan Sinha,karan.sinha56@example.com,50,Female,Single,2,1,Homemaker,Part-time,153710,Y,Kolkata,0,Y,N,591,Y
CUST0057,Suresh Banerjee,suresh.banerjee57@example.com,50,Male,Married,3,3,Homemaker,Part-time,83657,N,Delhi,2,N,N,611,Y
CUST0058,Neha Mehta,neha.mehta58@example.com,51,Female,Single,2,0,IT Professional,Full-time,202704,Y,Jaipur,0,Y,Y,667,N
CUST0059,Riya Nair,riya.nair59@example.com,43,Female,Married,2,0,Advocate,Full-time,155738,Y,Pune,2,N,N,544,N
CUST0060,Neha Verma,neha.verma60@example.com,54,Female,Single,2,3,Engineer,Part-time,87677,N,Hyderabad,0,Y,N,474,Y
CUST0061,Amit Sinha,amit.sinha61@example.com,52,Male,Married,0,2,Architect,Full-time,173264,Y,Mumbai,1,N,Y,478,Y
CUST0062,Anjali Gupta,anjali.gupta62@example.com,58,Female,Married,3,4,Architect,Part-time,171830,N,Ahmedabad,3,Y,Y,562,Y
CUST0063,Neha Das,neha.das63@example.com,53,Male,Single,2,4,Civil Servant,Full-time,111249,Y,Pune,0,N,Y,671,N
CUST0064,Suresh Malhotra,suresh.malhotra64@example.com,59,Female,Single,0,3,Banker,Full-time,223496,N,Jaipur,0,Y,N,664,Y
CUST0065,Rahul Kulkarni,rahul.kulkarni65@example.com,54,Male,Married,3,2,Banker,Full-time,115224,N,Pune,1,N,N,524,N
CUST0066,Rohit Mehta,rohit.mehta66@example.com,47,Male,Single,0,0,Homemaker,Full-time,34917,Y,Chandigarh,0,N,N,454,N
CUST0067,Anjali Verma,anjali.verma67@example.com,38,Male,Married,2,0,Teacher,Full-time,212337,N,Patna,3,Y,Y,459,Y
